12:54:05.370 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/place/building/edit/do],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String nanqu.djtu.admin.place.building.controller.PlaceBuildingController.saveEditPlaceDistinct(nanqu.djtu.pojo.PlaceBuilding,org.springframework.web.servlet.mvc.support.RedirectAttributes,javax.servlet.http.HttpSession)
12:54:05.370 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/place/building/unique/buildingNumber],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public boolean nanqu.djtu.admin.place.building.controller.PlaceBuildingController.buildingNumberUnique(nanqu.djtu.pojo.PlaceBuilding)
12:54:05.372 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/place/distinct/list],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView nanqu.djtu.admin.place.distinct.controller.PlaceDistinctController.list()
12:54:05.372 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/place/distinct/add/do],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String nanqu.djtu.admin.place.distinct.controller.PlaceDistinctController.save(nanqu.djtu.pojo.PlaceDistinct,org.springframework.web.servlet.mvc.support.RedirectAttributes,javax.servlet.http.HttpSession)
12:54:05.372 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/place/distinct/delete/{distinctId}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String nanqu.djtu.admin.place.distinct.controller.PlaceDistinctController.delete(java.lang.String,org.springframework.web.servlet.mvc.support.RedirectAttributes,javax.servlet.http.HttpSession)
12:54:05.372 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/place/distinct/add/route],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String nanqu.djtu.admin.place.distinct.controller.PlaceDistinctController.routeAdd()
12:54:05.372 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/place/distinct/edit/route/{distinctId}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView nanqu.djtu.admin.place.distinct.controller.PlaceDistinctController.routeEdit(java.lang.String)
12:54:05.373 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/place/distinct/unique/distinctNumber],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public boolean nanqu.djtu.admin.place.distinct.controller.PlaceDistinctController.distinctNumberUnique(nanqu.djtu.pojo.PlaceDistinct)
12:54:05.373 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/place/distinct/edit/do],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String nanqu.djtu.admin.place.distinct.controller.PlaceDistinctController.saveEditPlaceDistinct(nanqu.djtu.pojo.PlaceDistinct,org.springframework.web.servlet.mvc.support.RedirectAttributes,javax.servlet.http.HttpSession)
12:54:05.374 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/place/room/add/do],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String nanqu.djtu.admin.place.room.controller.PlaceRoomController.save(nanqu.djtu.pojo.PlaceRoom,org.springframework.web.servlet.mvc.support.RedirectAttributes,javax.servlet.http.HttpSession)
12:54:05.374 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/place/room/index],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String nanqu.djtu.admin.place.room.controller.PlaceRoomController.index()
12:54:05.375 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/place/room/delete/{roomId}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String nanqu.djtu.admin.place.room.controller.PlaceRoomController.delete(java.lang.String,org.springframework.web.servlet.mvc.support.RedirectAttributes,javax.servlet.http.HttpSession)
12:54:05.375 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/place/room/add/route],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView nanqu.djtu.admin.place.room.controller.PlaceRoomController.routeAdd()
12:54:05.375 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/place/room/buildings],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.util.List<nanqu.djtu.pojo.PlaceBuilding>> nanqu.djtu.admin.place.room.controller.PlaceRoomController.buildings(nanqu.djtu.pojo.PlaceDistinct)
12:54:05.377 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/place/room/edit/route/{roomId}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView nanqu.djtu.admin.place.room.controller.PlaceRoomController.routeEdit(java.lang.String)
12:54:05.377 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/place/room/route/page],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.lang.Object> nanqu.djtu.admin.place.room.controller.PlaceRoomController.listFirstPage(nanqu.djtu.pojo.PlaceRoom,org.springframework.data.domain.Pageable)
12:54:05.378 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/place/room/unique/roomNumber],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public boolean nanqu.djtu.admin.place.room.controller.PlaceRoomController.roomNumberUnique(nanqu.djtu.pojo.PlaceRoom)
